trading_date,factor_group,mean,count
2024-11-29,G1,0.0319415866754714,1017
2024-11-29,G2,0.031597596649771666,1016
2024-11-29,G3,0.0361847528555086,1017
2024-11-29,G4,0.039535366772935995,1016
2024-11-29,G5,0.032125414151092886,1017
2024-12-02,G1,0.00696756184878056,1017
2024-12-02,G2,0.009880561171732498,1016
2024-12-02,G3,0.010527896470505041,1016
2024-12-02,G4,0.017433344389150247,1016
2024-12-02,G5,0.011086479144263722,1016
2024-12-03,G1,0.012104706568328212,1017
2024-12-03,G2,0.01519161400654894,1016
2024-12-03,G3,0.011557549181123197,1016
2024-12-03,G4,0.020081879795777784,1016
2024-12-03,G5,0.023645630390124888,1016
2024-12-04,G1,0.04060960635590222,1017
2024-12-04,G2,0.03870362451762191,1016
2024-12-04,G3,0.042090669971374485,1016
2024-12-04,G4,0.046510497465093316,1016
2024-12-04,G5,0.058090518853026324,1017
2024-12-05,G1,0.041702913531941374,1017
2024-12-05,G2,0.037411326108845164,1017
2024-12-05,G3,0.03818367217076181,1017
2024-12-05,G4,0.04313946702722895,1017
2024-12-05,G5,0.05020202963243355,1017
2024-12-06,G1,0.006198540435324399,1017
2024-12-06,G2,0.007403818655382143,1016
2024-12-06,G3,0.004560327444107789,1017
2024-12-06,G4,0.016392659995740164,1016
2024-12-06,G5,0.03211392843691525,1017
2024-12-09,G1,0.00012791756357467796,1017
2024-12-09,G2,0.0014337851537731554,1016
2024-12-09,G3,0.00581735589714159,1016
2024-12-09,G4,0.013095297210649564,1016
2024-12-09,G5,0.023060754824645487,1016
2024-12-10,G1,-0.03484844615182907,1017
2024-12-10,G2,-0.030250942722654963,1016
2024-12-10,G3,-0.029659327534058786,1017
2024-12-10,G4,-0.03160328086265539,1016
2024-12-10,G5,-0.044162492405161326,1017
2024-12-11,G1,-0.03842442126450924,1017
2024-12-11,G2,-0.03613974882629743,1016
2024-12-11,G3,-0.035334176801924806,1017
2024-12-11,G4,-0.0412465294635787,1016
2024-12-11,G5,-0.057501868188492,1017
2024-12-12,G1,-0.045112442169693075,1017
2024-12-12,G2,-0.046757745102278904,1017
2024-12-12,G3,-0.043934137213081176,1016
2024-12-12,G4,-0.04943289982130719,1017
2024-12-12,G5,-0.07157308778874166,1017
2024-12-13,G1,-0.013027518011646597,1017
2024-12-13,G2,-0.016521637051666593,1016
2024-12-13,G3,-0.019954806911234885,1017
