rule,n,all_final,all_ann,all_mdd,all_sharpe,all_win,all_pl,all_mean,train_n,train_ann,train_mdd,train_sharpe,test_n,test_ann,test_mdd,test_sharpe,test_final,score
"open_pct in [-4.053,-3.287] AND mv_A_free_float in [25,62.52]",333,0.5763644650264607,-0.21519017727290746,-0.45560311330042225,-0.7304241877249742,0.39039039039039036,1.290508643619251,-0.2559340117670979,309,-0.21590131548973002,-0.411105922050804,-0.6517051442522261,24,-0.2313303212101938,-0.14841990816896256,-1.944571140410001,0.9244393976509696,-0.559575770584535
"pre_pct in [-0.04105,0.099] AND turnover_rate in [0,9.015]",483,0.4127877898918757,-0.31671890087958865,-0.6569707593278837,-1.6956338507557467,0.3333333333333333,1.0989236864053746,-0.6344130565926976,404,-0.3642367838682945,-0.6569707593278837,-2.000511436402931,79,0.0221616196139498,-0.1210252022261411,0.21258758207479564,1.0074139599153409,-0.5595961435844173
"pre_close_sma7_pct in [0.01286,13.62] AND turnover_rate in [0,13.12]",864,0.4556888997712357,-0.28672734257148824,-0.6324440939630455,-1.0014174258799404,0.3958333333333333,1.3556452056227168,-0.12971113234753007,755,-0.3344415705846977,-0.6038724646252493,-1.2227241307271408,108,-0.08609070027801269,-0.21210881083158428,-0.20360979739140642,0.9701187067322453,-0.5596493761621417
"price_lowest_30 in [1.396,1.968] AND pre_pct in [0,0.04292]",358,0.9645449099493871,-0.015435817483994918,-0.348034323061138,-0.007851584270660364,0.4301675977653631,1.3338712023423815,0.009993142560479904,305,0.09253552113948671,-0.26302771092160815,0.5065020339679854,53,-0.46406331008501667,-0.28065224667955835,-3.6786340028445865,0.8104289693184151,-0.5596919897091845
"avg_limit_turnover_5 in [-0,23.36] AND price_lowest_30 in [1.755,2.972]",375,1.0242768377469633,0.010390321948905878,-0.3648007880422359,0.18219807329991206,0.4186666666666667,1.2317387279072305,-0.1820644170461547,326,0.12658133078342493,-0.3648007880422359,0.6666728877017863,47,-0.49719442396738844,-0.32447221111001445,-4.062335439371955,0.7931876053836806,-0.5597002494707009
"open_pct in [-3.057,-2.705] AND pre_close_sma7_pct in [3.427,19.12]",383,1.0266864955033137,0.011386918955005987,-0.40171751586005255,0.31503275619780835,0.4308093994778068,1.5066107166283897,0.17994589832105784,324,0.11548895990800978,-0.40171751586005255,0.7297742108292593,58,-0.5075240952244808,-0.3459986464139616,-3.1392561399739582,0.789188476706539,-0.559772387237895
"pre_close_sma7_pct in [7.04,10.15] AND limit_days in [2,4]",373,0.8477944103973097,-0.06915453634651025,-0.42212018604457946,-0.15554660333810735,0.46380697050938335,1.3482794307123735,0.18700487565391155,320,-0.03525045080981071,-0.38435664799873803,0.020659406869934883,52,-0.3649679699431284,-0.29219061482271325,-2.3156355472030925,0.8677755361195189,-0.5597978234270118
"mv_A_free_float in [25,76.14] AND turnover_rate in [0,15.85]",814,0.27873147514883373,-0.4237248408565335,-0.7773039594463649,-1.7395635115065462,0.3783783783783784,1.2968733908811003,-0.2785150762860464,755,-0.48243573055012634,-0.7773039594463649,-1.9527313154721968,59,0.10239510895959936,-0.14613840054782878,0.7359024203552365,1.0311910673274183,-0.5598046588906875
"avg_limit_turnover_5 in [3.034,11.76] AND turnover_rate in [0,9.015]",502,0.4787781896670297,-0.2741529731878697,-0.5658327559204591,-1.3052839916389403,0.3844621513944223,1.2755737661644657,-0.2646812166130823,445,-0.30217697040863434,-0.5658327559204591,-1.3807575814997959,57,-0.08510779837473892,-0.12521112725600847,-0.6852850502281088,0.9726010107014003,-0.5598586455348484
"open_pct in [-3.511,-2.705] AND avg_limit_turnover_5 in [4.7,23.36]",654,0.8958150730108831,-0.04734239244147953,-0.6070225648512964,0.08293484683271311,0.44495412844036697,1.305532372000051,0.06131565962991793,560,0.0016158446025615891,-0.6070225648512964,0.25925791414731475,92,-0.42640905743091595,-0.3017924207045093,-2.0414385788358445,0.8561323594265738,-0.5599103761153472
"turnover_rate in [9.015,19.06] AND limit_days in [2,6]",872,0.8658907175362365,-0.06044344929388368,-0.5011630588460886,0.06533461922280276,0.4231651376146789,1.4092613128295937,0.0448678591385328,764,-0.010839700220208193,-0.5011630588460886,0.22679796427285628,107,-0.42507047266843623,-0.2852945480461845,-1.8581490976731747,0.8437968677124595,-0.560070672957072
"avg_limit_turnover_5 in [7.845,11.76] AND turnover_rate in [0,15.85]",332,0.5268487653202819,-0.24507623299032655,-0.5869429373886845,-1.492905332147185,0.3885542168674699,1.13624124908894,-0.39896184235685883,288,-0.27310700701669,-0.5869429373886845,-1.7399438046960725,44,-0.05787457929842099,-0.13414925123338273,-0.18562602040530432,0.9815522188315345,-0.5600837748528944
"pre_close_sma7_pct in [15.9,30.35] AND limit_days in [4,16]",205,0.7833037477519941,-0.09989938957907474,-0.5655069523175374,-0.5304525223240317,0.424390243902439,1.172976104498567,-0.2469747333464728,169,-0.061545203941214544,-0.5130163118641369,-0.29523741225986616,35,-0.3094296776084362,-0.22774714340306035,-3.0622475360415775,0.8827043532940112,-0.56016635574538
"avg_limit_turnover_5 in [11.76,17.79] AND turnover_rate in [0,22.44]",351,0.4967989441728578,-0.26674284550867033,-0.5404043677284984,-1.1011558375864368,0.41025641025641024,1.215784005062908,-0.20950604228692363,307,-0.2852076410523462,-0.5404043677284984,-1.1733785948020785,44,-0.13249624932340753,-0.12971535315482963,-0.6322198648604347,0.9625566156624819,-0.5601889139442828
"avg_limit_turnover_5 in [11.76,17.79] AND turnover_rate in [4.861,22.44]",351,0.4967989441728578,-0.26674284550867033,-0.5404043677284984,-1.1011558375864368,0.41025641025641024,1.215784005062908,-0.20950604228692363,307,-0.2852076410523462,-0.5404043677284984,-1.1733785948020785,44,-0.13249624932340753,-0.12971535315482963,-0.6322198648604347,0.9625566156624819,-0.5601889139442828
"open_pct in [-3.768,-2.705] AND turnover_rate in [0,10.9]",476,0.5235871267411983,-0.24308701497321272,-0.5438019217237833,-1.083676420252824,0.37815126050420167,1.2221086546322786,-0.32906758633472416,406,-0.26085439586584214,-0.5438019217237833,-1.0929141437411827,70,-0.14424795198025075,-0.1378729367231506,-1.4404633970591878,0.9496703547440247,-0.5603469023253119
"mv_A_free_float in [62.52,134] AND turnover_rate in [0,15.85]",401,0.7992845608241966,-0.09131252259885336,-0.5278849984249588,-0.16588662436041682,0.38902743142144636,1.2378713247960214,-0.29944219934362337,328,-0.0326728666808187,-0.5278849984249588,0.13300824404718306,73,-0.376790843892137,-0.2680866201700952,-1.9518697985730038,0.8538017869506418,-0.5603479121896773
