参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 152, '调整正确率(%)': '53.61', '预计平均亏损改善(%)': '2.1861'}",0.5063244246952243
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 68, '调整正确率(%)': '61.21', '预计平均亏损改善(%)': '2.6659'}",0.5052300118411917
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 100, '调整正确率(%)': '60.89', '预计平均亏损改善(%)': '2.3467'}",0.5038743982989358
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 120, '调整正确率(%)': '57.27', '预计平均亏损改善(%)': '2.3156'}",0.5027568279922923
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 141, '调整正确率(%)': '54.46', '预计平均亏损改善(%)': '2.2391'}",0.5026793692197554
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 132, '调整正确率(%)': '55.68', '预计平均亏损改善(%)': '2.2673'}",0.5019303702057171
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 137, '调整正确率(%)': '55.10', '预计平均亏损改善(%)': '2.2427'}",0.5015077107104697
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 106, '调整正确率(%)': '58.84', '预计平均亏损改善(%)': '2.3734'}",0.5011123549178055
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 180, '调整正确率(%)': '56.55', '预计平均亏损改善(%)': '1.7207'}",0.4997310652828889
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 111, '调整正确率(%)': '58.12', '预计平均亏损改善(%)': '2.3493'}",0.49936461332654986
